"Country","Happiness.Rank","Happiness.Score","Economy","Health.Life.Expectancy","Freedom","Trust.Government.Corruption","Generosity"
"Finland",1,7.769,1.34,0.986,0.596,0.393,0.153
"Denmark",2,7.6,1.383,0.996,0.592,0.41,0.252
"Norway",3,7.554,1.488,1.028,0.603,0.341,0.271
"Iceland",4,7.494,1.38,1.026,0.591,0.118,0.354
"Netherlands",5,7.488,1.396,0.999,0.557,0.298,0.322
"Switzerland",6,7.48,1.452,1.052,0.572,0.343,0.263
"Sweden",7,7.343,1.387,1.009,0.574,0.373,0.267
"New Zealand",8,7.307,1.303,1.026,0.585,0.38,0.33
"Canada",9,7.278,1.365,1.039,0.584,0.308,0.285
"Austria",10,7.246,1.376,1.016,0.532,0.226,0.244
"Australia",11,7.228,1.372,1.036,0.557,0.29,0.332
"Costa Rica",12,7.167,1.034,0.963,0.558,0.093,0.144
"Israel",13,7.139,1.276,1.029,0.371,0.082,0.261
"Luxembourg",14,7.09,1.609,1.012,0.526,0.316,0.194
"United Kingdom",15,7.054,1.333,0.996,0.45,0.278,0.348
"Ireland",16,7.021,1.499,0.999,0.516,0.31,0.298
"Germany",17,6.985,1.373,0.987,0.495,0.265,0.261
"Belgium",18,6.923,1.356,0.986,0.473,0.21,0.16
"United States",19,6.892,1.433,0.874,0.454,0.128,0.28
"Czech Republic",20,6.852,1.269,0.92,0.457,0.036,0.046
"United Arab Emirates",21,6.825,1.503,0.825,0.598,0.182,0.262
"Malta",22,6.726,1.3,0.999,0.564,0.151,0.375
"Mexico",23,6.595,1.07,0.861,0.433,0.073,0.074
"France",24,6.592,1.324,1.045,0.436,0.183,0.111
"Taiwan",25,6.446,1.368,0.914,0.351,0.097,0.242
"Chile",26,6.444,1.159,0.92,0.357,0.056,0.187
"Guatemala",27,6.436,0.8,0.746,0.535,0.078,0.175
"Saudi Arabia",28,6.375,1.403,0.795,0.439,0.132,0.08
"Qatar",29,6.374,1.684,0.871,0.555,0.167,0.22
"Spain",30,6.354,1.286,1.062,0.362,0.079,0.153
"Panama",31,6.321,1.149,0.91,0.516,0.054,0.109
"Brazil",32,6.3,1.004,0.802,0.39,0.086,0.099
"Uruguay",33,6.293,1.124,0.891,0.523,0.15,0.127
"Singapore",34,6.262,1.572,1.141,0.556,0.453,0.271
"El Salvador",35,6.253,0.794,0.789,0.43,0.074,0.093
"Italy",36,6.223,1.294,1.039,0.231,0.03,0.158
"Bahrain",37,6.199,1.362,0.871,0.536,0.11,0.255
"Slovakia",38,6.198,1.246,0.881,0.334,0.014,0.121
"Trinidad & Tobago",39,6.192,1.231,0.713,0.489,0.016,0.185
"Poland",40,6.182,1.206,0.884,0.483,0.05,0.117
"Uzbekistan",41,6.174,0.745,0.756,0.631,0.24,0.322
"Lithuania",42,6.149,1.238,0.818,0.291,0.042,0.043
"Colombia",43,6.125,0.985,0.841,0.47,0.034,0.099
"Slovenia",44,6.118,1.258,0.953,0.564,0.057,0.144
"Nicaragua",45,6.105,0.694,0.835,0.435,0.127,0.2
"Kosovo",46,6.1,0.882,0.758,0.489,0.006,0.262
"Argentina",47,6.086,1.092,0.881,0.471,0.05,0.066
"Romania",48,6.07,1.162,0.825,0.462,0.005,0.083
"Cyprus",49,6.046,1.263,1.042,0.406,0.041,0.19
"Ecuador",50,6.028,0.912,0.868,0.498,0.087,0.126
"Kuwait",51,6.021,1.5,0.808,0.493,0.097,0.142
